Model,MSE,RMSE,MAE,R2
Linear Regression,2900.19362849348,53.853445836765914,42.79409467959994,0.4526027629719197
Ridge Regression,2892.0145657501726,53.777454065343896,42.81199941834888,0.45414652070698225
Lasso Regression,2884.6242887352123,53.70869844573793,42.805234446768836,0.45554139902790414
